pathway_id,pathway_mode,is_bidirectional,from_stop_id,to_stop_id,traversal_time
LM4MK2-LM4MKK,2,1,LM4MK2,LM4MKK,60
LM4MK1-LM4MKF,2,1,LM4MK1,LM4MKF,60
LM4MK2-LM4MKH,2,1,LM4MK2,LM4MKH,90
LM1MUV-F02887,2,1,LM1MUV,F02887,30
LM4MK1-LM4MKE,2,1,LM4MK1,LM4MKE,60
LM4MK2-LM4MKI,2,1,LM4MK2,LM4MKI,60
LM4MK1-LM4MKH,2,1,LM4MK1,LM4MKH,30
LM4MK2-LM4MKF,2,1,LM4MK2,LM4MKF,120
LM4MK1-LM4MKG,2,1,LM4MK1,LM4MKG,30
LM4MK2-LM4MKG,2,1,LM4MK2,LM4MKG,120
056234-F01335-WC,5,1,056234,F01335,105
LM2OV2-F01749,1,1,LM2OV2,F01749,30
LM2PU2-F01742,2,1,LM2PU2,F01742,30
LM2PU2-F01743,2,1,LM2PU2,F01743,30
LM4KP3-056233-WC,5,0,LM4KP3,056233,60
LM2BL1-LM2BLI,2,1,LM2BL1,LM2BLI,30
L056214-056232-WC,5,1,L056214,056232,60
LM2BL1-LM2BLH,2,1,LM2BL1,LM2BLH,30
LM2BL1-LM2BLG,2,1,LM2BL1,LM2BLG,30
LM1OKV-F01085,2,1,LM1OKV,F01085,30
LM2PU2-F01742-WC,5,1,LM2PU2,F01742,60
LM2BL1-LM2BLF,2,1,LM2BL1,LM2BLF,30
LM2BL1-LM2BLE,2,1,LM2BL1,LM2BLE,30
LM3AH2-LM3AHA,2,1,LM3AH2,LM3AHA,120
LM3CN1-F01188,2,1,LM3CN1,F01188,120
LM3CN1-F01189,2,1,LM3CN1,F01189,120
LM3AH2-LM3AHD,2,1,LM3AH2,LM3AHD,90
LM3AH2-LM3AHE,1,1,LM3AH2,LM3AHE,60
LM3AH2-LM3AHB,2,1,LM3AH2,LM3AHB,180
LM3AH2-LM3AHC,2,1,LM3AH2,LM3AHC,180
LM3AH2-LM3AHF,2,1,LM3AH2,LM3AHF,30
LM4BP1-056217-WC,1,1,LM4BP1,056217,90
LM3AH2-LM3AHG,2,1,LM3AH2,LM3AHG,60
LM3KK1-F01543,2,0,LM3KK1,F01543,60
LM4KP3-F01336,2,1,LM4KP3,F01336,90
F00963-F00960,2,1,F00963,F00960,120
LM4MK2-LM4MKD,2,1,LM4MK2,LM4MKD,120
LM4MK2-LM4MKE,2,1,LM4MK2,LM4MKE,120
LM4MK2-LM4MKB,2,1,LM4MK2,LM4MKB,120
F00963-F00961,2,1,F00963,F00961,120
LM4MK2-LM4MKC,2,1,LM4MK2,LM4MKC,120
LM4MK2-LM4MKA,2,1,LM4MK2,LM4MKA,90
LM2BT1-F00062,2,1,LM2BT1,F00062,120
LM2BT1-F00063,2,1,LM2BT1,F00063,120
LM2PF2-F01324,2,1,LM2PF2,F01324,30
L056213-056229,2,1,L056213,056229,60
LM1BUM-F01101,2,1,LM1BUM,F01101,30
L008159-F02683,2,1,L008159,F02683,30
LM3DG1-LM3DGF-WC,5,1,LM3DG1,LM3DGF,60
L008159-F02682,2,1,L008159,F02682,30
LM1KKV-F01095,2,1,LM1KKV,F01095,30
LM2DP1-F00094,2,0,LM2DP1,F00094,60
L056213-056230,2,1,L056213,056230,60
LM2PF2-F01325,2,1,LM2PF2,F01325,30
LM4KP2-LMXKPK-WC,1,1,LM4KP2,LMXKPK,120
056234-LM4KP2-WC,1,0,056234,LM4KP2,60
LM4MK2-056222,2,1,LM4MK2,056222,30
LM4MK2-056221,2,1,LM4MK2,056221,30
LM2BL1-LM2BLD,2,1,LM2BL1,LM2BLD,30
LM2BL1-LM2BLC,2,1,LM2BL1,LM2BLC,30
LM1SFV-F02696,2,1,LM1SFV,F02696,30
056215-LM4KF2-WC,5,0,056215,LM4KF2,120
LM2BL1-LM2BLB,2,1,LM2BL1,LM2BLB,30
LM1BZV-F00996,2,1,LM1BZV,F00996,30
LM2BL1-LM2BLA,2,1,LM2BL1,LM2BLA,30
LM4KF1-056216,2,0,LM4KF1,056216,60
LM3AH1-F02637,2,1,LM3AH1,F02637,30
LM4SG2-056224-WC,1,1,LM4SG2,056224,90
LM3CN1-LM3CND,2,1,LM3CN1,LM3CND,30
LM4KF3-LM4KFA-WC,5,1,LM4KF3,LM4KFA,120
LM3CN1-LM3CNC,2,1,LM3CN1,LM3CNC,30
LM3CN1-LM3CNB,2,1,LM3CN1,LM3CNB,30
LM3CN1-LM3CNA,2,1,LM3CN1,LM3CNA,30
LM4KP2-LMXKPF-WC,1,1,LM4KP2,LMXKPF,90
