StopName_A,StopName_B,Location_A,Location_B,StopID_A,StopID_B,Route_A,Route_B,RouteColor_A,RouteColor_B
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.464751, 19.017791)",061277,061278,88,8E,009EE3,009EE3
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.465166, 19.022619)",061277,F02210,88,918,009EE3,000000
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.464743, 19.023003)",061277,093021,88,918,009EE3,000000
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.464743, 19.023003)",061277,093021,88,901,009EE3,000000
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.465166, 19.022619)",061277,F02210,88,901,009EE3,000000
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.464743, 19.023003)",061277,093021,88,907,009EE3,000000
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.465166, 19.022619)",061277,F02210,88,907,009EE3,000000
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.467215, 19.016596)",075744,F01926,88,908,009EE3,000000
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.466648, 19.016251)",075744,082617,88,8E,009EE3,009EE3
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.467215, 19.016596)",075744,F01926,88,941,009EE3,000000
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.466648, 19.016251)",075744,082617,88,88A,009EE3,009EE3
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.467215, 19.016596)",075744,F01926,88,940,009EE3,000000
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.467215, 19.016596)",075744,F01926,88,972B,009EE3,000000
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.467215, 19.016596)",075744,F01926,88,972,009EE3,000000
Rózsakert utca / Minta utca,Rózsakert utca / Minta utca,"(47.403146, 19.010169)","(47.403776, 19.011043)",102568,102569,88,941,009EE3,000000
Gazdagréti út,Gazdagréti út,"(47.462111, 19.004888)","(47.46275, 19.005922)",F01930,F01931,88,908,009EE3,000000
Gazdagréti út,Gazdagréti út,"(47.462111, 19.004888)","(47.46275, 19.005922)",F01930,F01931,88,8E,009EE3,009EE3
Gazdagréti út,Gazdagréti út,"(47.462111, 19.004888)","(47.46275, 19.005922)",F01930,F01931,88,88A,009EE3,009EE3
Gazdagréti út,Gazdagréti út,"(47.462111, 19.004888)","(47.46275, 19.005922)",F01930,F01931,88,940,009EE3,000000
Gazdagréti út,Gazdagréti út,"(47.462111, 19.004888)","(47.46275, 19.005922)",F01930,F01931,88,972B,009EE3,000000
Gazdagréti út,Gazdagréti út,"(47.462111, 19.004888)","(47.46275, 19.005922)",F01930,F01931,88,972,009EE3,000000
Budatétény vasútállomás,Budatétény vasútállomás,"(47.404901, 19.012155)","(47.405135, 19.012791)",F04457,F04458,88,941,009EE3,000000
Budatétény vasútállomás,Budatétény vasútállomás,"(47.404901, 19.012155)","(47.405135, 19.012791)",F04457,F04458,88,973,009EE3,000000
"Budaörs, városháza","Budaörs, városháza","(47.461238, 18.946931)","(47.461391, 18.946308)",F04716,F04717,88,88A,009EE3,009EE3
"Budaörs, városháza","Budaörs, városháza","(47.461238, 18.946931)","(47.461391, 18.946308)",F04716,F04717,88,940,009EE3,000000
"Budaörs, városháza","Budaörs, városháza","(47.461238, 18.946931)","(47.461391, 18.946308)",F04716,F04717,88,972B,009EE3,000000
"Budaörs, városháza","Budaörs, városháza","(47.461238, 18.946931)","(47.461391, 18.946308)",F04716,F04717,88,972,009EE3,000000
Savoya Park,Savoya Park,"(47.435847, 19.042385)","(47.435991, 19.04151)",008802,008864,17,48,FFD800,FFD800
Savoya Park,Savoya Park,"(47.435847, 19.042385)","(47.436656, 19.039269)",008802,009578,17,241,FFD800,009EE3
Savoya Park,Savoya Park,"(47.435847, 19.042385)","(47.436656, 19.039269)",008802,009578,17,250,FFD800,009EE3
Savoya Park,Savoya Park,"(47.435847, 19.042385)","(47.436656, 19.039269)",008802,009578,17,251,FFD800,009EE3
Savoya Park,Savoya Park,"(47.435847, 19.042385)","(47.436081, 19.041549)",008802,047806,17,33,FFD800,009EE3
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507533, 19.026097)",036678,F02481,17,M2,FFD800,E41F18
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.506818, 19.024895)",036678,F02480,17,M2,FFD800,E41F18
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507358, 19.024496)",036678,F02476,17,4,FFD800,FFD800
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507232, 19.025186)",036678,F02477,17,4,FFD800,FFD800
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507232, 19.025186)",036678,F02477,17,6,FFD800,FFD800
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507358, 19.024496)",036678,F02476,17,6,FFD800,FFD800
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.506863, 19.024178)",036678,F02460,17,59,FFD800,FFD800
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.506863, 19.024178)",036678,F02460,17,59A,FFD800,FFD800
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507421, 19.024722)",036678,F02465,17,91,FFD800,009EE3
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507403, 19.024974)",036678,F02464,17,916,FFD800,000000
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507421, 19.024722)",036678,F02465,17,39,FFD800,009EE3
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507691, 19.024629)",036678,F00412,17,956,FFD800,000000
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.506728, 19.022811)",036678,F02332,17,956,FFD800,000000
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507376, 19.025598)",036678,F02466,17,956,FFD800,000000
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507421, 19.024722)",036678,F02465,17,956,FFD800,000000
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507691, 19.024629)",036678,F00412,17,922,FFD800,000000
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507376, 19.025598)",036678,F02466,17,922,FFD800,000000
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507691, 19.024629)",036678,F00412,17,922B,FFD800,000000
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507376, 19.025598)",036678,F02466,17,922B,FFD800,000000
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.506728, 19.022811)",036678,F02332,17,5,FFD800,009EE3
Széll Kálmán tér,Széll Kálmán tér,"(47.50671, 19.02524)","(47.507421, 19.024722)",036678,F02465,17,990,FFD800,000000
