StopName_A,StopName_B,Location_A,Location_B,StopID_A,StopID_B,Route_A,Route_B,RouteColor_A,RouteColor_B
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.464743, 19.023003)",061277,093021,40,918,009EE3,000000
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.464743, 19.023003)",061277,093021,40,901,009EE3,000000
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.465166, 19.022619)",061277,F02210,40,901,009EE3,000000
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.464743, 19.023003)",061277,093021,40,907,009EE3,000000
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.465166, 19.022619)",061277,F02210,40,907,009EE3,000000
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.467215, 19.016596)",075744,F01926,40,908,009EE3,000000
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.466648, 19.016251)",075744,082617,40,87A,009EE3,009EE3
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.466648, 19.016251)",075744,082617,40,87,009EE3,009EE3
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.466648, 19.016251)",075744,082617,40,8E,009EE3,009EE3
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.466954, 19.015972)",075744,F01925,40,53,009EE3,009EE3
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.467215, 19.016596)",075744,F01926,40,53,009EE3,009EE3
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.467215, 19.016596)",075744,F01926,40,941,009EE3,000000
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.466648, 19.016251)",075744,082617,40,88A,009EE3,009EE3
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.466648, 19.016251)",075744,082617,40,40B,009EE3,009EE3
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.466648, 19.016251)",075744,082617,40,88,009EE3,009EE3
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.467215, 19.016596)",075744,F01926,40,940,009EE3,000000
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.467215, 19.016596)",075744,F01926,40,972B,009EE3,000000
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.467215, 19.016596)",075744,F01926,40,972,009EE3,000000
Sasadi út,Sasadi út,"(47.465452, 19.015814)","(47.466648, 19.016251)",075744,082617,40,40E,009EE3,009EE3
Budaörsi lakótelep,Budaörsi lakótelep,"(47.455747, 18.94116)","(47.456043, 18.940404)",103053,F04724,40,40B,009EE3,009EE3
